#Parameters = {Mesh Pass=2}
#"X / mm"	"H-Field (Ms)_Abs (X) (Mesh Pass=2) [Real Part]"
#---------------------------------------------------------
-5.0000000000000	0.00019975036174415
-4.9082568807339	0.00019968103080847
-4.8165137614679	0.00019025809776359
-4.7247706422018	0.00018361014960414
-4.6330275229358	0.00018089939234429
-4.5412844036697	0.00034285740166848
-4.4495412844037	0.00069395946700896
-4.3577981651376	0.0010109480770374
-4.2660550458716	0.0011344566345910
-4.1743119266055	0.0011945438647156
-4.0825688073394	0.0012095843192368
-3.9908256880734	0.0012013995083836
-3.8990825688073	0.0012083362318921
-3.8073394495413	0.0012845368576007
-3.7155963302752	0.0014813789123745
-3.6238532110092	0.0016323356422811
-3.5321100917431	0.0016372501117310
-3.4403669724771	0.0016482756641611
-3.3486238532110	0.0016661068002177
-3.2568807339450	0.0016932764141285
-3.1651376146789	0.0017339356088317
-3.0733944954128	0.0017934426799887
-2.9816513761468	0.0018777590279405
-2.8899082568807	0.0019926936294622
-2.7981651376147	0.0021431850016205
-2.7064220183486	0.0023328254762044
-2.6146788990826	0.0025637410118513
-2.5229357798165	0.0028367855365618
-2.4311926605505	0.0031518979266367
-2.3394495412844	0.0035084600407934
-2.2477064220183	0.0039055958138080
-2.1559633027523	0.0022859701259639
-2.0642201834862	0.0036479785488185
-1.9724770642202	0.0067229413629170
-1.8807339449541	0.0087419162189457
-1.7889908256881	0.0097680247921258
-1.6972477064220	0.010174813659918
-1.6055045871560	0.010724743332418
-1.5137614678899	0.012532671575045
-1.4220183486239	20.335233915455
-1.3302752293578	47.772859718426
-1.2385321100917	75.772556116031
-1.1467889908257	104.33430243758
-1.0550458715596	133.45809124303
-0.96330275229358	159.85043704800
-0.87155963302752	182.52132831298
-0.77981651376147	207.62539859246
-0.68807339449541	235.73024086625
-0.59633027522936	268.77296443223
-0.50458715596330	305.22767216453
-0.41284403669725	262.89723430409
-0.32110091743119	203.84886656534
-0.22935779816514	145.24931070714
-0.13761467889908	86.925608752188
-0.045871559633027	29.032933619322
0.045871559633028	28.819418066370
0.13761467889908	87.115540608874
0.22935779816514	144.85457539598
0.32110091743119	202.84224985679
0.41284403669725	260.42306762090
0.50458715596330	305.31685181452
0.59633027522936	265.93723942696
0.68807339449541	236.56302619678
0.77981651376147	208.96158226975
0.87155963302752	183.57909707917
0.96330275229358	161.17268019667
1.0550458715596	138.59281326468
1.1467889908257	106.89373212681
1.2385321100917	76.037715854109
1.3302752293578	46.617601802740
1.4220183486239	18.526910794482
1.5137614678899	0.042331003357564
1.6055045871560	0.033330263992542
1.6972477064220	0.027559998524947
1.7889908256881	0.025716477442835
1.8807339449541	0.027445827720143
1.9724770642202	0.031476836078613
2.0642201834862	0.036943255044668
2.1559633027523	0.043358917363581
2.2477064220183	0.044148959862839
2.3394495412844	0.027087465191486
2.4311926605505	0.010231441192489
2.5229357798165	0.011042836748583
2.6146788990826	0.014514276561925
2.7064220183486	0.0069477189541444
2.7981651376147	0.0060050076813884
2.8899082568807	0.0049899494085215
2.9816513761468	0.0039031658699437
3.0733944954128	0.0027481856503063
3.1651376146789	0.0018873532650153
3.2568807339450	0.0017983122406224
3.3486238532110	0.0016285401581426
3.4403669724771	0.0014699233204269
3.5321100917431	0.0013227945122644
3.6238532110092	0.0011875471385577
3.7155963302752	0.0010437066270675
3.8073394495413	0.00088167546390816
3.8990825688073	0.00074511202131271
3.9908256880734	0.00063415325296409
4.0825688073395	0.00054797024852846
4.1743119266055	0.00048408741990591
4.2660550458716	0.00043804764412665
4.3577981651376	0.00040394801145406
4.4495412844037	0.00037578453325950
4.5412844036697	0.00034893448523281
4.6330275229358	0.00032138496605998
4.7247706422018	0.00029503253107853
4.8165137614679	0.00027747991739715
4.9082568807339	0.00028258453081480
5.0000000000000	0.00029965687716011
