#Parameters = {Mesh Pass=2}
#"X / mm"	"B-Field (Ms)_Abs (X) (Mesh Pass=2) [Real Part]"
#---------------------------------------------------------
-1.0000000000000	5.8061334975529e-05
-0.98165137614679	6.7069983802518e-05
-0.96330275229358	7.6097539239261e-05
-0.94495412844037	8.5143820125564e-05
-0.92660550458716	9.4208872996501e-05
-0.90825688073394	0.00010329262377466
-0.88990825688073	0.00011239506714972
-0.87155963302752	0.00012151616087660
-0.85321100917431	0.00013065593248580
-0.83486238532110	0.00013981433974868
-0.81651376146789	0.00014899142974178
-0.79816513761468	0.00015818714191565
-0.77981651376147	0.00016740154769129
-0.76146788990826	0.00017663455928901
-0.74311926605505	0.00018590878072293
-0.72477064220183	0.00019533535715445
-0.70642201834862	0.00020478120029455
-0.68807339449541	0.00021424634050875
-0.66972477064220	0.00022373076470454
-0.65137614678899	0.00023323448916199
-0.63302752293578	0.00024275753019392
-0.61467889908257	0.00025229981699209
-0.59633027522936	0.00026186135154320
-0.57798165137615	0.00027144222330485
-0.55963302752294	0.00028104240525111
-0.54128440366972	0.00029066189960050
-0.52293577981651	0.00029991308227585
-0.50458715596330	0.00030962843766458
-0.48623853211009	0.00032507136425004
-0.46788990825688	0.00032524213056786
-0.44954128440367	0.00032541385687446
-0.43119266055046	0.00032556185902743
-0.41284403669725	0.00032568612967301
-0.39449541284404	0.00032578654543682
-0.37614678899083	0.00032585217456439
-0.35779816513761	0.00032589220576002
-0.33944954128440	0.00032590663005946
-0.32110091743119	0.00032589543949724
-0.30275229357798	0.00032585865624518
-0.28440366972477	0.00032579732113281
-0.26605504587156	0.00032570994649293
-0.24770642201835	0.00032569090363939
-0.22935779816514	0.00032568328952862
-0.21100917431193	0.00032567884430541
-0.19266055045872	0.00032567574036392
-0.17431192660550	0.00032567394839223
-0.15596330275229	0.00032567349730347
-0.13761467889908	0.00032567438692438
-0.11926605504587	0.00032567655889146
-0.10091743119266	0.00032568012948162
-0.082568807339449	0.00032568498215856
-0.064220183486238	0.00032569120416420
-0.045871559633027	0.00032569882452156
-0.027522935779816	0.00032570766841577
-0.0091743119266054	0.00032571782315787
0.0091743119266057	0.00032572931785170
0.027522935779817	0.00032574212337678
0.045871559633027	0.00032575629794159
0.064220183486239	0.00032577178335669
0.082568807339450	0.00032578857965775
0.10091743119266	0.00032580671600170
0.11926605504587	0.00032582619245908
0.13761467889908	0.00032584700911778
0.15596330275229	0.00032586913697935
0.17431192660550	0.00032589257616647
0.19266055045872	0.00032593563080124
0.21100917431193	0.00032598788261158
0.22935779816514	0.00032603975723011
0.24770642201835	0.00032609262343939
0.26605504587156	0.00032614575344462
0.28440366972477	0.00032619914745254
0.30275229357798	0.00032625286390508
0.32110091743119	0.00032630684485668
0.33944954128440	0.00032636106149283
0.35779816513761	0.00032641551405247
0.37614678899083	0.00032647011550847
0.39449541284404	0.00032652518675072
0.41284403669725	0.00032658061152832
0.43119266055046	0.00032663627385320
0.44954128440367	0.00032669226149098
0.46788990825688	0.00032674848761267
0.48623853211009	0.00032680501093487
0.50458715596330	0.00031043678970324
0.52293577981651	0.00030108234719160
0.54128440366972	0.00029165732585725
0.55963302752294	0.00028222221905569
0.57798165137615	0.00027277561975482
0.59633027522936	0.00026331606360928
0.61467889908257	0.00025384226696602
0.63302752293578	0.00024435290005351
0.65137614678899	0.00023484662351344
0.66972477064220	0.00022532218512519
0.68807339449541	0.00021577851876293
0.70642201834862	0.00020621449770449
0.72477064220183	0.00019662915767849
0.74311926605505	0.00018688812940643
0.76146788990826	0.00017667769326249
0.77981651376147	0.00016637999658140
0.79816513761468	0.00015605302281461
0.81651376146789	0.00014569949144117
0.83486238532110	0.00013532330955772
0.85321100917431	0.00012492192929324
0.87155963302752	0.00011449914567535
0.88990825688073	0.00010406125231613
0.90825688073395	9.3618207518487e-05
0.92660550458716	8.3186064956978e-05
0.94495412844037	7.2791159153007e-05
0.96330275229358	6.3483135294808e-05
0.98165137614679	5.5488097693429e-05
1.0000000000000	4.7789914713419e-05
