#Parameters = {Mesh Pass=6}
#"Z / mm"	"B-Field (Ms)_Abs (Z) (Mesh Pass=6) [Real Part]"
#---------------------------------------------------------
-10.000000000000	2.1348370476085e-05
-9.8148148148148	2.1549933452188e-05
-9.6296296296296	2.1751994718904e-05
-9.4444444444444	2.1954556205806e-05
-9.2592592592593	2.2157618043633e-05
-9.0740740740741	2.2361182200874e-05
-8.8888888888889	2.2565247026161e-05
-8.7037037037037	2.2769812705491e-05
-8.5185185185185	2.2974881258713e-05
-8.3333333333333	2.3174447042519e-05
-8.1481481481481	2.3371296940207e-05
-7.9629629629630	2.3566008268299e-05
-7.7777777777778	2.3758574592174e-05
-7.5925925925926	2.3949002455242e-05
-7.4074074074074	2.4137298640349e-05
-7.2222222222222	2.4323462883732e-05
-7.0370370370370	2.4507500610018e-05
-6.8518518518519	2.4689408362589e-05
-6.6666666666667	2.4869199275300e-05
-6.4814814814815	2.5046873957809e-05
-6.2962962962963	2.5222346770651e-05
-6.1111111111111	2.5363496180358e-05
-5.9259259259259	2.5502107809819e-05
-5.7407407407407	2.5638191980262e-05
-5.5555555555556	2.5771749955376e-05
-5.3703703703704	2.5902781219065e-05
-5.1851851851852	2.6031287110955e-05
-5.0000000000000	2.6157269009807e-05
-4.8148148148148	2.6280728333098e-05
-4.6296296296296	2.6401668356468e-05
-4.4444444444444	2.6520086938735e-05
-4.2592592592593	2.6635987435801e-05
-4.0740740740741	2.6724414207300e-05
-3.8888888888889	2.6810098733146e-05
-3.7037037037037	2.6893257287541e-05
-3.5185185185185	2.6973889017104e-05
-3.3333333333333	2.7051989486737e-05
-3.1481481481481	2.7127565225156e-05
-2.9629629629630	2.7200608263283e-05
-2.7777777777778	2.7271121594178e-05
-2.5925925925926	2.7339102802986e-05
-2.4074074074074	2.7404554979496e-05
-2.2222222222222	2.7467468526800e-05
-2.0370370370370	2.7527855721203e-05
-1.8518518518519	2.7585707055765e-05
-1.6666666666667	2.7641022161736e-05
-1.4814814814815	2.7693809808221e-05
-1.2962962962963	2.7744058797669e-05
-1.1111111111111	2.7797600837579e-05
-0.92592592592593	2.7859256795752e-05
-0.74074074074074	2.7918257158076e-05
-0.55555555555556	2.7974604118061e-05
-0.37037037037037	2.8028300046287e-05
-0.18518518518519	2.8079349310563e-05
0.0000000000000	2.8127752820253e-05
0.18518518518519	2.8173511663777e-05
0.37037037037037	2.8145263887142e-05
0.55555555555556	2.8105402969054e-05
0.74074074074074	2.8062912139762e-05
0.92592592592593	2.8017784019906e-05
1.1111111111111	2.7970022184695e-05
1.2962962962963	2.7919624792024e-05
1.4814814814815	2.7866593678879e-05
1.6666666666667	2.7810923446432e-05
1.8518518518519	2.7757523472656e-05
2.0370370370370	2.7712734131531e-05
2.2222222222222	2.7663718415760e-05
2.4074074074074	2.7610476223592e-05
2.5925925925926	2.7553005703398e-05
2.7777777777778	2.7491301433607e-05
2.9629629629630	2.7425365333169e-05
3.1481481481481	2.7355193928283e-05
3.3333333333333	2.7280785625800e-05
3.5185185185185	2.7202144346040e-05
3.7037037037037	2.7119257702654e-05
3.8888888888889	2.7032129731956e-05
4.0740740740741	2.6940762707329e-05
4.2592592592593	2.6807630423382e-05
4.4444444444444	2.6659162210791e-05
4.6296296296296	2.6508211275432e-05
4.8148148148148	2.6354779336861e-05
5.0000000000000	2.6198864685257e-05
5.1851851851852	2.6040458541514e-05
5.3703703703704	2.5879563256528e-05
5.5555555555556	2.5716172299947e-05
5.7407407407407	2.5552110593939e-05
5.9259259259259	2.5389350290307e-05
6.1111111111111	2.5224868240051e-05
6.2962962962963	2.5058659913403e-05
6.4814814814815	2.4890728231480e-05
6.6666666666667	2.4721065376786e-05
6.8518518518519	2.4549674627114e-05
7.0370370370370	2.4376548529631e-05
7.2222222222222	2.4201685278851e-05
7.4074074074074	2.4025086903323e-05
7.5925925925926	2.3846748356978e-05
7.7777777777778	2.3666673896806e-05
7.9629629629630	2.3484858900224e-05
8.1481481481481	2.3301298966698e-05
8.3333333333333	2.3116002659625e-05
8.5185185185185	2.2928960592685e-05
8.7037037037037	2.2744015011364e-05
8.8888888888889	2.2563744305020e-05
9.0740740740741	2.2381282719152e-05
9.2592592592593	2.2196629984206e-05
9.4444444444444	2.2009784027135e-05
9.6296296296296	2.1820748245157e-05
9.8148148148148	2.1629516957466e-05
10.000000000000	2.1417904724844e-05
